Asset,Open time,Open,High,Low,Close,Volume,Close time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
BTCUSDT,1682812800000,29230.45000000,29969.39000000,29079.59000000,29233.21000000,39752.53720000,1682899199999,1172155267.87618970,949458,19894.27252000,586711670.55607390,0
BTCUSDT,1682899200000,29233.20000000,29337.34000000,27666.95000000,28068.26000000,64433.65958000,1682985599999,1828221138.95443980,1362793,30761.92690000,872712018.18082540,0
BTCUSDT,1682985600000,28068.26000000,28879.88000000,27872.00000000,28669.86000000,50824.52240000,1683071999999,1441733922.01164440,1174697,24789.36748000,703206831.78018060,0
BTCUSDT,1683072000000,28669.85000000,29266.66000000,28113.69000000,29026.16000000,64615.79213000,1683158399999,1845961218.84324360,1502909,32291.20998000,922549963.25075790,0
BTCUSDT,1683158400000,29026.16000000,29379.83000000,28663.64000000,28838.16000000,42575.47501000,1683244799999,1233816136.16065770,961542,20470.21240000,593281438.93813760,0
BTCUSDT,1683244800000,28838.16000000,29677.00000000,28800.00000000,29505.61000000,58415.83048000,1683331199999,1709786814.90113400,1288027,29071.98606000,850975342.64243030,0
BTCUSDT,1683331200000,29505.60000000,29820.00000000,28300.00000000,28848.20000000,49249.28459000,1683417599999,1429517892.78050220,1221021,23315.95073000,676717267.01172240,0
BTCUSDT,1683417600000,28848.19000000,29138.29000000,28395.23000000,28430.10000000,30003.41028000,1683503999999,865838535.32638210,855425,14904.01102000,430162358.62942520,0
BTCUSDT,1683504000000,28430.09000000,28631.01000000,27262.00000000,27668.79000000,68244.36179000,1683590399999,1903052694.66841270,1600637,32347.56935000,901988104.11036000,0
BTCUSDT,1683590400000,27668.80000000,27818.00000000,27353.00000000,27628.27000000,40113.31069000,1683676799999,1106923908.30584690,1003698,20094.09737000,554561922.80537130,0
BTCUSDT,1683676800000,27628.28000000,28331.42000000,26777.00000000,27598.75000000,71155.11355000,1683763199999,1971173412.43550200,1534579,34398.83676000,953153016.50961890,0
BTCUSDT,1683763200000,27598.74000000,27630.14000000,26702.05000000,26968.62000000,47635.31365000,1683849599999,1295799109.01100400,1257000,23270.11723000,632925807.49257740,0
BTCUSDT,1683849600000,26968.61000000,27091.12000000,25811.46000000,26795.01000000,67207.93494000,1683935999999,1777052127.73109300,1351633,33147.27251000,876487224.25504230,0
BTCUSDT,1683936000000,26795.01000000,27045.45000000,26692.03000000,26775.28000000,22814.90421000,1684022399999,612062852.08668820,605049,10959.29947000,294038915.03262630,0
BTCUSDT,1684022400000,26775.27000000,27200.00000000,26560.53000000,26917.62000000,21594.80360000,1684108799999,580801698.00026930,629537,10672.14983000,287060095.33152760,0
