open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1634774400000,0.00000160,0.00000165,0.00000158,0.00000163,5264191.00000000,1634860799999,8.49908188,2188,2234005.00000000,3.61588369,0
1634860800000,0.00000164,0.00000175,0.00000162,0.00000173,4826239.00000000,1634947199999,8.12576931,1999,2681345.00000000,4.52481379,0
1634947200000,0.00000173,0.00000175,0.00000169,0.00000174,3433689.00000000,1635033599999,5.91519491,1228,1279292.00000000,2.20923275,0
1635033600000,0.00000174,0.00000175,0.00000169,0.00000173,3079357.00000000,1635119999999,5.29110352,1185,1467723.00000000,2.52767832,0
1635120000000,0.00000173,0.00000175,0.00000167,0.00000170,2190418.00000000,1635206399999,3.71750287,1187,965838.00000000,1.64523125,0
1635206400000,0.00000169,0.00000174,0.00000167,0.00000174,4263427.00000000,1635292799999,7.22466558,2054,1710688.00000000,2.90787982,0
1635292800000,0.00000173,0.00000174,0.00000152,0.00000161,10858568.00000000,1635379199999,17.59707399,3839,4777360.00000000,7.73922804,0
1635379200000,0.00000160,0.00000168,0.00000160,0.00000166,3829089.00000000,1635465599999,6.22517393,1885,1661939.00000000,2.71819702,0
1635465600000,0.00000165,0.00000167,0.00000162,0.00000165,2789966.00000000,1635551999999,4.59088335,1300,1274453.00000000,2.10116085,0
1635552000000,0.00000164,0.00000174,0.00000164,0.00000173,5523673.00000000,1635638399999,9.35935207,2491,2366348.00000000,4.01790332,0
1635638400000,0.00000172,0.00000195,0.00000168,0.00000180,15213087.00000000,1635724799999,27.34483397,6657,7569628.00000000,13.68380372,0
1635724800000,0.00000180,0.00000180,0.00000169,0.00000177,6105958.00000000,1635811199999,10.60401531,2571,2713997.00000000,4.73067208,0
1635811200000,0.00000175,0.00000176,0.00000168,0.00000174,6571059.00000000,1635897599999,11.28998889,2557,2930244.00000000,5.04368642,0
1635897600000,0.00000172,0.00000191,0.00000167,0.00000188,32242042.00000000,1635983999999,57.77272598,11653,14851850.00000000,26.77543038,0
1635984000000,0.00000186,0.00000186,0.00000177,0.00000182,10921936.00000000,1636070399999,19.76973914,4004,5212623.00000000,9.44852969,0
1636070400000,0.00000182,0.00000184,0.00000175,0.00000179,5425896.00000000,1636156799999,9.73845220,2081,2514022.00000000,4.53082622,0
1636156800000,0.00000179,0.00000181,0.00000174,0.00000176,2614172.00000000,1636243199999,4.63435592,1206,1360045.00000000,2.42086020,0
1636243200000,0.00000177,0.00000178,0.00000170,0.00000172,7036934.00000000,1636329599999,12.24978922,2625,2931134.00000000,5.12872356,0
1636329600000,0.00000172,0.00000172,0.00000161,0.00000163,8917131.00000000,1636415999999,14.67893311,2644,4029597.00000000,6.64499011,0
1636416000000,0.00000163,0.00000163,0.00000158,0.00000160,7486477.00000000,1636502399999,12.03118538,2054,3878610.00000000,6.23031691,0
1636502400000,0.00000159,0.00000175,0.00000159,0.00000164,32041535.00000000,1636588799999,53.59160896,9665,17478807.00000000,29.31231061,0
1636588800000,0.00000164,0.00000167,0.00000161,0.00000166,8414779.00000000,1636675199999,13.82280002,2429,3215697.00000000,5.30746715,0
1636675200000,0.00000167,0.00000167,0.00000160,0.00000165,5890021.00000000,1636761599999,9.59831112,1759,2046346.00000000,3.33752915,0
1636761600000,0.00000163,0.00000173,0.00000162,0.00000167,20532682.00000000,1636847999999,33.98605655,5292,12575344.00000000,20.86917642,0
1636848000000,0.00000166,0.00000168,0.00000161,0.00000162,6197265.00000000,1636934399999,10.18708900,2385,2720798.00000000,4.48552425,0
1636934400000,0.00000163,0.00000173,0.00000160,0.00000171,5709001.00000000,1637020799999,9.43664160,2203,3347243.00000000,5.56897217,0
1637020800000,0.00000171,0.00000185,0.00000164,0.00000185,29907900.00000000,1637107199999,52.94012888,10237,14768140.00000000,26.23814367,0
1637107200000,0.00000185,0.00000200,0.00000177,0.00000192,27670776.00000000,1637193599999,52.18076424,14517,14667841.00000000,27.73635625,0
1637193600000,0.00000193,0.00000214,0.00000170,0.00000175,42390755.00000000,1637279999999,79.46393917,19100,19844094.00000000,37.10980109,0
