number of asset,iteration,time
5,1,0.014820000000000277
5,2,0.0011899999999993582
5,3,0.001100000000000989
5,4,0.0010739999999991312
5,5,0.0010619999999992302
5,6,0.0010449999999995185
5,7,0.0010270000000005552
5,8,0.0010289999999990584
5,9,0.0010220000000007445
5,10,0.0010209999999997166
5,11,0.0010100000000008436
5,12,0.001006999999999536
5,13,0.0010259999999995273
5,14,0.001024000000001024
5,15,0.0010220000000007445
5,16,0.0010159999999999059
5,17,0.0010060000000002844
5,18,0.0010139999999996263
5,19,0.0010070000000013124
5,20,0.0010110000000000952
5,21,0.001020000000000465
5,22,0.0010050000000010328
5,23,0.0010089999999998156
5,24,0.0010050000000010328
5,25,0.0010040000000000049
5,26,0.0009989999999984178
5,27,0.0010139999999996263
5,28,0.0010040000000000049
5,29,0.0010349999999998971
5,30,0.0010270000000005552
5,31,0.0010159999999999059
5,32,0.001110999999999862
5,33,0.001018999999999437
5,34,0.0010099999999990672
5,35,0.0010040000000000049
5,36,0.0010620000000010066
5,37,0.001008000000000564
5,38,0.0010119999999993468
5,39,0.0010009999999986974
5,40,0.0010150000000006543
5,41,0.0010020000000015017
5,42,0.001682999999999879
5,43,0.001056000000000168
5,44,0.001014999999998878
5,45,0.0010580000000004475
5,46,0.0010329999999996176
5,47,0.0010099999999990672
5,48,0.0010130000000003747
5,49,0.0010089999999998156
5,50,0.0010050000000010328
5,51,0.001020000000000465
5,52,0.0010060000000002844
5,53,0.001014999999998878
5,54,0.0010070000000013124
5,55,0.0010030000000007533
5,56,0.001002999999998977
5,57,0.000996000000000663
5,58,0.0010110000000000952
5,59,0.0010100000000008436
5,60,0.0010040000000000049
5,61,0.0010150000000006543
5,62,0.0010170000000009338
5,63,0.0010019999999997253
5,64,0.001002999999998977
5,65,0.0010119999999993468
5,66,0.0009910000000008523
5,67,0.0009990000000001942
5,68,0.0010010000000004737
5,69,0.0009910000000008523
5,70,0.001005999999998508
5,71,0.0010159999999999059
5,72,0.0010170000000009338
5,73,0.0010060000000002844
5,74,0.0010049999999992565
5,75,0.0009990000000001942
5,76,0.0010139999999996263
5,77,0.0010120000000011231
5,78,0.0010030000000007533
5,79,0.0009999999999994458
5,80,0.0011150000000004212
5,81,0.0013540000000009655
5,82,0.0011170000000007008
5,83,0.001082999999999501
5,84,0.001082999999999501
5,85,0.0010340000000006455
5,86,0.0010239999999992477
5,87,0.0010229999999999961
5,88,0.0010199999999986886
5,89,0.0010060000000002844
5,90,0.001014999999998878
5,91,0.001018999999999437
5,92,0.0010409999999989594
5,93,0.0010349999999998971
5,94,0.0010159999999999059
5,95,0.0010269999999987789
5,96,0.0010219999999989682
5,97,0.0010019999999997253
5,98,0.0010219999999989682
5,99,0.0010130000000003747
