number of asset,iteration,time
5,1,1.8548940000036964
5,2,2.030666000006022
5,3,1.983568000003288
5,4,1.9717709999968065
5,5,1.5726120000035735
5,6,2.221044999998412
5,7,1.782084999998915
5,8,2.0182780000031926
5,9,1.8691670000043814
5,10,1.7105940000037663
5,11,1.7710640000004787
5,12,1.8456799999985378
5,13,1.745865999997477
5,14,1.9757650000028661
5,15,2.028035000003001
5,16,1.6037740000028862
5,17,1.7129550000026939
5,18,1.810773999997764
5,19,3.1838060000009136
5,20,1.8989540000038687
5,21,1.8268339999995078
5,22,1.8908099999971455
5,23,2.6040520000024117
5,24,1.964680999997654
5,25,2.1593830000056187
5,26,3.80542200000491
5,27,1.65011300000333
5,28,1.7621969999963767
5,29,1.7872300000017276
5,30,1.6313969999973779
5,31,2.0521829999997863
5,32,1.9732080000030692
5,33,2.4046630000011646
5,34,1.7428389999986393
5,35,1.695384999999078
5,36,1.8215200000049663
5,37,1.7978460000013001
5,38,2.234602000004088
5,39,1.6306279999989783
5,40,1.5931590000036522
5,41,1.7777729999943404
5,42,1.740774000005331
5,43,1.657137000001967
5,44,1.9382380000024568
5,45,10.215005999998539
5,46,1.9110270000019227
5,47,10.307574999998906
5,48,1.8530790000004345
5,49,1.784681000004639
5,50,1.6394990000044345
5,51,2.0393419999963953
5,52,1.7421699999977136
5,53,1.773049000003084
5,54,2.0119429999977
5,55,1.906247999999323
5,56,1.678844999994908
5,57,10.849650999996811
5,58,1.7996779999957653
5,59,11.827053000000888
5,60,2.0727960000003804
5,61,1.9219740000044112
5,62,2.0582680000006803
5,63,2.3288050000046496
5,64,1.84302100000059
5,65,1.654592999999295
5,66,1.834075999999186
5,67,1.684144999999262
5,68,1.8177690000011353
5,69,2.1773939999984577
5,70,1.9079730000012205
5,71,1.7487590000018827
5,72,1.6185910000058357
5,73,1.8488030000007711
5,74,2.3027099999962957
5,75,1.8468059999941033
5,76,1.8124680000037188
5,77,2.125647000000754
5,78,1.721188000003167
5,79,1.77382999999827
5,80,3.9293180000022403
5,81,1.6326420000041253
5,82,1.5459790000022622
5,83,1.826984999999695
5,84,1.8742349999956787
5,85,2.1327689999961876
5,86,1.746712000000116
5,87,2.2994370000014897
5,88,1.7778249999973923
5,89,2.924513999998453
5,90,1.7677440000043134
5,91,1.6382999999987078
5,92,3.0096249999987776
5,93,1.8973190000033355
5,94,1.717981999994663
5,95,10.487755999994988
5,96,1.6205130000016652
5,97,1.869222000001173
5,98,1.8488839999990887
5,99,1.6793090000064694
5,100,1.6738320000004023
5,101,1.709657999999763
5,102,1.8425680000000284
5,103,1.9931709999946179
5,104,2.003456999998889
5,105,2.0628149999974994
5,106,1.8140759999951115
5,107,1.9000509999968926
5,108,1.621940999997605
5,109,1.7910590000028606
5,110,1.9241739999997662
5,111,1.91299699999945
5,112,1.8372679999956745
5,113,1.9027080000014394
5,114,1.828190000000177
5,115,1.882805000001099
5,116,1.6733020000028773
5,117,1.8990169999960926
5,118,1.704873000002408
5,119,1.9342099999994389
5,120,10.260006000004068
5,121,1.8960670000014943
5,122,1.873158999995212
5,123,2.2367920000033337
5,124,1.7051900000005844
5,125,1.7567379999964032
5,126,1.760801000003994
5,127,1.7763940000004368
5,128,2.6021639999962645
5,129,1.8816189999997732
5,130,1.8637450000023819
5,131,1.804308000006131
5,132,1.6579790000032517
5,133,1.5989249999984168
5,134,1.8448669999997946
5,135,2.1619879999998375
5,136,1.8438959999984945
5,137,1.8729480000038166
5,138,2.054880999996385
5,139,2.0463830000007874
5,140,2.046066000002611
5,141,1.7310189999989234
5,142,2.4038279999949737
5,143,1.781396999998833
5,144,1.8629260000016075
5,145,1.8671479999975418
5,146,1.8455790000007255
5,147,3.2635250000021188
5,148,1.7775370000017574
5,149,1.8035559999989346
5,150,1.734706000002916
5,151,1.882764000001771
5,152,1.7208400000017718
5,153,2.0131750000000466
5,154,10.624202999999397
5,155,1.9528659999996307
5,156,1.7259669999984908
5,157,1.5050330000012764
5,158,2.6060919999945327
5,159,1.9004619999977876
5,160,1.8932569999960833
5,161,2.1501229999994393
5,162,1.7314189999960945
5,163,1.7029830000028596
5,164,3.1897509999980684
5,165,1.8016239999997197
5,166,1.705562999995891
5,167,10.882593000002089
5,168,2.7715290000051027
5,169,1.889151999996102
5,170,2.175885999997263
5,171,1.9663760000039474
5,172,2.4267780000009225
5,173,1.8271179999937885
5,174,1.4333390000028885
5,175,10.266836000002513
5,176,1.7139299999980722
5,177,1.6993279999951483
5,178,1.7138189999968745
5,179,2.2820559999963734
5,180,1.8666099999973085
5,181,1.6457420000006096
5,182,1.7117399999988265
5,183,1.6879990000015823
5,184,2.0787449999988894
5,185,2.167939999999362
5,186,11.078469000000041
5,187,1.9167410000009113
5,188,1.6301559999992605
5,189,1.6244650000007823
5,190,1.7889070000019274
5,191,2.0763019999940298
5,192,1.9287789999943925
5,193,1.5660380000044825
5,194,1.8228799999997136
5,195,1.8880079999944428
5,196,1.6362440000011702
5,197,1.6702790000053938
5,198,2.096127000004344
5,199,2.3019679999997607
5,200,2.13162800000282
5,201,2.3734909999984666
5,202,1.8604439999980968
5,203,1.4314880000019912
5,204,2.077868000000308
5,205,1.825777999998536
5,206,1.6056409999946482
5,207,1.789322999997239
5,208,2.29094599999371
5,209,1.8721939999959432
5,210,1.775708000001032
5,211,1.959048000004259
5,212,2.3412370000005467
5,213,1.693344999999681
5,214,2.275097999998252
5,215,1.7697150000021793
5,216,2.1127290000003995
5,217,2.5549539999992703
5,218,1.7122459999955026
5,219,1.7841000000044005
5,220,3.407882999999856
5,221,2.2820449999999255
5,222,1.7860829999990528
5,223,1.7607389999975567
5,224,1.9278249999988475
5,225,2.622412999997323
5,226,1.6885249999977532
5,227,1.738310000000638
5,228,10.099000000001979
5,229,1.7742090000028838
5,230,1.7841560000015306
5,231,2.0067589999962365
5,232,2.0142810000033933
5,233,1.7284079999953974
5,234,1.616665000001376
5,235,2.3269189999991795
5,236,2.0873890000002575
5,237,2.1003920000002836
5,238,1.9458410000006552
5,239,1.6460839999999735
5,240,1.677285000005213
5,241,2.0261180000015884
5,242,3.9355199999990873
5,243,1.6531939999986207
5,244,1.8418629999941913
5,245,2.1316230000011274
5,246,3.164106999996875
5,247,1.6142739999995683
5,248,1.9693509999997332
5,249,2.0455280000023777
5,250,2.3298130000039237
5,251,1.817694000004849
5,252,1.9524339999989024
5,253,1.6016660000022966
5,254,3.3248579999999492
5,255,1.7210729999933392
5,256,1.669527999998536
5,257,1.7639879999987897
5,258,2.0632709999990766
5,259,1.9348979999995208
5,260,2.1838409999982105
5,261,1.7202899999974761
5,262,1.6615660000024945
5,263,2.204478999999992
5,264,2.201388000001316
5,265,2.159360999998171
5,266,1.8777939999999944
5,267,2.334284000004118
5,268,1.7730549999978393
5,269,1.7860260000015842
5,270,1.849950000003446
5,271,3.1808530000052997
5,272,2.0342559999990044
5,273,2.16470400000253
5,274,1.7888410000014119
5,275,1.776369999999588
5,276,1.9834259999988717
5,277,1.705578000000969
5,278,1.8731079999997746
5,279,1.9747930000012275
5,280,2.009299999997893
5,281,2.028497999999672
5,282,2.0233700000026147
5,283,2.1456949999992503
5,284,1.827767999995558
5,285,2.341024000001198
5,286,1.43217399999412
5,287,1.6206759999986389
5,288,10.613714999999502
5,289,1.7530059999990044
5,290,1.6556829999972251
5,291,2.0361459999985527
5,292,1.8674929999979213
